iter	RMSE
0	0.3236318486
1	0.3131186837
2	0.3032256494
3	0.2935585813
4	0.2849623647
5	0.2764506298
6	0.2685468127
7	0.2612772204
8	0.2544528351
9	0.2477525612
10	0.2415197872
11	0.235581371
12	0.2302906258
13	0.2250945267
14	0.2202110343
15	0.2157101788
16	0.2116967595
17	0.2079195127
18	0.2044230361
19	0.2008899837
20	0.1977618884
21	0.1947594757
22	0.1916426056
23	0.1887157489
24	0.1861031971
25	0.1836183613
26	0.1814160813
27	0.1790884805
28	0.1770072307
29	0.1751292797
30	0.1732966166
31	0.1715065785
32	0.1700014778
33	0.1684113164
34	0.1670508836
35	0.1655356162
36	0.1641015031
37	0.1627843868
38	0.1615699076
39	0.1604473291
40	0.1593991049
41	0.1583961169
42	0.1574828174
43	0.1564636478
44	0.1555144864
45	0.1547505157
46	0.1539483632
47	0.1533124151
48	0.1525851584
49	0.1519154669
50	0.1512255504
51	0.1505799164
52	0.1498394634
53	0.1493064213
54	0.1487777788
55	0.1481588603
56	0.1475972728
57	0.1470805714
58	0.1466694424
59	0.1462393985
60	0.1457371762
61	0.1454284338
62	0.1451288518
63	0.1448367682
64	0.1443926958
65	0.1439063664
66	0.1435961414
67	0.1432176158
68	0.1427845834
69	0.1424502388
70	0.1420977092
71	0.1417069658
72	0.1413273616
73	0.1410432643
74	0.1407362201
75	0.140535789
76	0.1403095535
77	0.1399998361
78	0.1396377363
79	0.1393599163
80	0.1390170328
81	0.1386407875
82	0.138417571
83	0.1380677095
84	0.1379150568
85	0.1376775959
86	0.1374963576
87	0.1372392564
88	0.1370778175
89	0.1367339709
90	0.1366160183
91	0.1363533582
92	0.1361897865
93	0.1359776721
94	0.1357411827
95	0.1355148275
96	0.1354306193
97	0.135378017
98	0.1351623256
99	0.1349536887
100	0.1347548267
101	0.1347474334
102	0.1345883987
103	0.1343664281
104	0.1342047592
105	0.1339106642
106	0.133604634
107	0.1334627214
108	0.1332578037
109	0.1331306188
110	0.1329859548
111	0.1328128581
112	0.1326540223
113	0.1322725997
114	0.1322184119
115	0.131978433
116	0.1318233463
117	0.1317673972
118	0.1316579431
119	0.1314625696
120	0.1313936158
121	0.1311756144
122	0.1309973361
123	0.1308880852
124	0.1308388913
125	0.1307591022
126	0.1306387503
127	0.1305575622
128	0.1303582908
129	0.1301957085
130	0.1299956841
131	0.1297994398
132	0.1296667286
133	0.1294743763
134	0.1293321623
135	0.1291630822
136	0.1290873535
137	0.128859561
138	0.1287644952
139	0.1286094898
140	0.1285629884
141	0.1284146634
142	0.1283035109
143	0.1282593454
144	0.1281216848
145	0.1280440545
146	0.1279385703
147	0.1277935578
148	0.1276715868
149	0.1274318047
150	0.1273362767
151	0.1272596964
152	0.1271561354
153	0.1270733838
154	0.1268941829
155	0.1267373865
156	0.1266823375
157	0.1265798395
158	0.1264630031
159	0.1263626854
160	0.1262971767
161	0.1261606803
162	0.1259746806
163	0.1258835537
164	0.1257821756
165	0.1257248517
166	0.125642148
167	0.1255819341
168	0.1254695869
169	0.1253687351
170	0.125281956
171	0.1252538034
172	0.1250642471
173	0.1248714218
174	0.1248313571
