iter	Passed	Remaining
0	4	3866
1	8	3448
2	12	3223
3	15	3015
4	18	2875
5	21	2786
6	23	2712
7	26	2659
8	29	2607
9	32	2562
10	35	2543
11	38	2528
12	41	2504
13	44	2481
14	46	2458
15	50	2459
16	52	2432
17	55	2414
18	58	2396
19	61	2385
20	64	2378
21	66	2365
22	69	2357
23	72	2351
24	75	2341
25	78	2332
26	81	2326
27	83	2315
28	86	2309
29	90	2326
30	93	2320
31	96	2312
32	99	2305
33	101	2295
34	104	2288
35	107	2284
36	110	2279
37	113	2274
38	116	2268
39	119	2266
40	122	2259
41	124	2254
42	127	2245
43	130	2241
44	133	2233
45	136	2229
46	138	2222
47	141	2217
48	144	2216
49	147	2210
50	150	2204
51	152	2198
52	155	2194
53	158	2189
54	161	2183
55	164	2182
56	167	2177
57	170	2175
58	172	2171
59	175	2170
60	178	2168
61	181	2164
62	184	2160
63	187	2156
64	190	2151
65	193	2148
66	196	2145
67	198	2142
68	201	2137
69	204	2132
70	207	2129
71	210	2129
72	212	2111
73	215	2110
74	218	2110
75	221	2110
76	224	2107
77	227	2107
78	230	2105
79	233	2101
80	236	2100
81	240	2104
82	243	2103
83	246	2101
84	249	2099
85	252	2096
86	255	2093
87	258	2088
88	261	2085
89	264	2086
90	267	2084
91	269	2071
92	272	2067
93	274	2065
94	277	2060
95	280	2057
96	283	2054
97	286	2050
98	289	2047
99	292	2044
100	295	2042
101	297	2038
102	300	2036
103	303	2033
104	306	2031
105	308	2018
106	310	2013
107	313	2009
108	316	2006
109	319	2004
110	322	2000
111	323	1987
112	326	1983
113	328	1979
114	332	1978
115	335	1975
116	337	1972
117	340	1970
118	343	1968
119	346	1966
120	349	1963
121	352	1960
122	355	1957
123	358	1954
124	361	1951
125	364	1948
126	365	1938
127	368	1935
128	371	1933
129	374	1931
130	377	1927
131	380	1925
132	383	1923
133	386	1920
134	389	1917
135	392	1915
136	395	1912
137	398	1909
138	399	1900
139	402	1897
140	405	1894
141	408	1892
142	411	1889
143	414	1889
144	417	1887
145	420	1885
146	423	1882
147	425	1876
148	428	1872
149	432	1872
150	434	1869
151	437	1866
152	440	1864
153	443	1861
154	446	1858
155	449	1856
156	451	1849
157	454	1846
158	457	1844
159	460	1840
160	463	1838
161	466	1836
162	469	1832
163	472	1830
164	474	1827
165	476	1819
166	479	1816
167	482	1814
168	485	1811
169	487	1807
170	490	1805
171	493	1803
172	496	1800
173	499	1798
174	502	1796
175	505	1793
176	508	1790
177	511	1787
178	514	1784
179	517	1781
180	520	1779
181	523	1776
182	526	1774
183	529	1771
184	531	1768
185	534	1765
186	537	1763
187	540	1759
188	543	1757
189	546	1755
190	549	1752
191	552	1749
192	555	1746
193	556	1739
194	559	1736
195	562	1733
196	565	1730
197	568	1727
198	571	1725
199	574	1722
200	576	1719
201	579	1716
202	582	1713
203	585	1710
204	588	1708
205	591	1706
206	594	1703
207	597	1701
208	600	1699
209	604	1697
210	607	1694
211	610	1692
212	613	1690
213	616	1687
214	619	1685
215	622	1682
216	625	1680
217	629	1679
218	632	1677
219	635	1675
220	638	1673
221	641	1671
222	644	1668
223	647	1665
224	651	1664
225	654	1661
226	657	1659
227	660	1657
228	663	1654
229	666	1652
230	669	1649
231	672	1647
232	676	1646
233	679	1644
234	683	1642
235	686	1640
236	690	1639
237	694	1638
238	697	1637
239	700	1635
240	704	1633
241	707	1631
242	711	1630
243	714	1628
244	718	1627
245	721	1625
246	725	1624
247	728	1622
248	732	1620
249	736	1619
250	739	1618
251	743	1616
252	746	1614
253	750	1612
254	753	1610
255	757	1609
256	760	1607
257	764	1605
258	768	1604
259	771	1602
260	775	1601
261	778	1598
262	781	1596
263	784	1593
264	787	1590
265	791	1588
266	795	1587
267	798	1586
268	802	1583
269	806	1582
270	809	1581
271	813	1578
272	816	1576
273	819	1573
274	822	1570
275	826	1568
276	829	1566
277	832	1563
278	835	1560
279	838	1557
280	841	1554
281	844	1551
282	847	1548
283	851	1546
284	854	1544
285	857	1541
286	860	1538
287	863	1535
288	867	1533
289	870	1530
290	873	1527
291	877	1526
292	880	1524
293	884	1521
294	887	1519
295	891	1517
296	894	1514
297	897	1511
298	900	1508
299	903	1506
300	906	1503
301	910	1500
302	913	1497
303	916	1495
304	919	1492
305	922	1489
306	925	1486
307	928	1483
308	932	1481
309	935	1478
310	938	1475
311	941	1472
312	944	1470
313	948	1467
314	951	1464
315	954	1461
316	957	1459
317	960	1456
318	964	1453
319	967	1450
320	970	1447
321	973	1445
322	976	1442
323	980	1439
324	983	1437
325	986	1434
326	989	1431
327	993	1428
328	996	1426
329	999	1423
330	1002	1420
331	1006	1418
332	1009	1415
333	1012	1412
334	1015	1409
335	1018	1406
336	1022	1404
337	1025	1401
338	1028	1398
339	1031	1396
340	1034	1392
341	1038	1390
342	1041	1387
343	1044	1384
344	1047	1382
345	1051	1379
346	1054	1376
347	1057	1374
348	1061	1371
349	1064	1368
350	1068	1366
351	1071	1363
352	1074	1360
353	1078	1358
354	1082	1356
355	1086	1354
356	1090	1353
357	1094	1351
358	1098	1349
359	1102	1347
360	1106	1345
361	1109	1342
362	1113	1340
363	1116	1337
364	1120	1335
365	1123	1332
366	1127	1329
367	1130	1327
368	1134	1324
369	1137	1322
370	1142	1321
371	1147	1319
372	1150	1317
373	1154	1315
374	1158	1312
375	1161	1309
376	1164	1306
377	1168	1304
378	1171	1301
379	1174	1298
380	1177	1295
381	1180	1292
382	1184	1289
383	1187	1286
384	1190	1283
385	1193	1280
386	1196	1277
387	1200	1274
388	1203	1271
389	1206	1268
390	1210	1265
391	1213	1262
392	1216	1259
393	1219	1256
394	1222	1253
395	1226	1250
396	1228	1247
397	1231	1243
398	1234	1240
399	1237	1237
400	1240	1234
401	1244	1232
402	1248	1229
403	1251	1226
404	1254	1223
405	1258	1221
406	1261	1218
407	1265	1215
408	1268	1213
409	1272	1210
410	1276	1208
411	1279	1205
412	1283	1202
413	1286	1199
414	1289	1196
415	1292	1193
416	1295	1190
417	1298	1186
418	1302	1184
419	1305	1180
420	1308	1177
421	1311	1175
422	1315	1172
423	1318	1169
424	1321	1166
425	1325	1163
426	1328	1160
