MLS #,Acres,Basement Finished,Under Contract Date,Effective Date Of The Listing Agreement,List Price,Basement Square Feet,Sold Concessions,Sold Date,Sold Price,Sold Terms,Tax ID,Total Bedrooms,Total Full Bathrooms,Total Half Bathrooms,Total Three-quarter Bathrooms,Total Fireplaces,Total Kitchens,Total Laundry Rooms,Total Square Feet,Year Built,Road Condition,Accessability,Address
113175,0.56,0.0,2025-10-25,2025-09-18,680000,0,0,2025-11-21,665000.0,VA,B-1894-0006-0000,4,2,0,0,1,1,1,1829,2023,Paved,Year Round,1723 S 4150 W
113178,0.31,0.0,2025-09-19,2025-09-19,499995,0,0,2025-10-17,497800.0,CASH,B-1779-0012-0000,3,2,0,0,1,1,1,2087,2005,Paved,Year Round,1190 E Nichols Canyon Road
113214,0.4,100.0,2025-09-26,2025-09-22,593000,0,8500,2025-11-10,560000.0,CONV,A-1211-0146-0000,4,2,0,0,1,1,1,2698,1981,Paved,,194 Deer Trail Drive
113227,0.23,100.0,2025-10-16,2025-09-23,495000,1262,20000,2025-11-12,505000.0,CONV,B-1176-0003-0001,4,3,0,0,2,1,1,3018,2005,,Year Round,208 N Guidelight Drive
109313,1.14,100.0,2025-08-01,2024-12-04,670000,2414,0,2025-08-15,636560.0,CASH,A-0793-0006-0000,8,3,0,0,1,1,1,4828,1980,Paved,Year Round,667 E Midvalley Road
113262,0.03,0.0,2025-10-06,2025-09-25,319900,0,11840,2025-11-10,327000.0,CONV,B-2053-0012-0000,3,2,1,0,1,1,1,1716,2025,Paved,,51 S 4375 #12 W
113264,0.03,0.0,2025-10-03,2025-09-25,319900,0,0,2025-11-04,319900.0,CASH,B-2053-0014-0000,3,2,1,0,1,1,1,1716,2025,Paved,,51 S 4375 #14 W
113265,0.04,0.0,2025-10-16,2025-09-25,299900,0,0,2025-11-07,297000.0,CASH,B-1898-0065-0000,3,2,1,0,0,1,1,1538,2019,Paved,,173 E Fiddlers Canyon RD #65
113309,0.0,0.0,2025-10-16,2025-09-30,175000,0,3000,2025-11-03,151000.0,CASH,A-1178-0235-0000,1,1,0,0,1,1,1,624,1983,,Year Round,150 W Ridge View St #235
113385,0.5,100.0,2025-10-10,2025-10-07,349900,1000,10000,2025-11-10,358900.0,CONV,A-0879-0000-000B-08,5,2,0,0,2,1,1,2000,1976,Paved,,721 W Cottonwood Drive
113462,0.17,0.0,2025-10-17,2025-10-09,424900,0,0,2025-11-21,410000.0,CONV,B-1947-0014-0000,3,2,0,0,1,1,1,1614,2017,Paved,,1780 N Willow Lane
