List Number,Sold Date,Sold Price,Basement SqFt,Year Built,Lot Acres,Total Bedrooms,Full Baths,Half Baths,Garage Type,Zoned,Subdivision,Parcel Number,Garage Capacity,Photo URL,Bsmt % Finish,Fireplaces2,Kitchens,Laundry,Concessions4,Road Condition,Accessability,Address,GLA,Adjusted SP
113175,11/21/2025,665000,0,2023,0.56,4,2,0,Attach,Residential,4 B Ranch,B-1894-0006-0000,4,http://cdn.photos.sparkplatform.com/icb/20250918174527088995000000.jpg,0,1,1,1,0,Paved,Year Round,1723 S 4150 W,1829,665000
113178,10/17/2025,497800,0,2005,0.31,3,2,0,Attach,R,Ashdown Forest,B-1779-0012-0000,3,http://cdn.photos.sparkplatform.com/icb/20250919112020274995000000.jpg,0,1,1,1,0,Paved,Year Round,1190 E Nichols Canyon Road,2087,497800
113214,11/10/2025,560000,0,1981,0.4,4,2,0,Attach,R1,Cedar Breaks Mtn,A-1211-0146-0000,4,http://cdn.photos.sparkplatform.com/icb/20250919203601312362000000.jpg,1,1,1,1,8500,Paved,,194 Deer Trail Drive,2698,551500
113227,11/12/2025,505000,1262,2005,0.23,4,3,0,Attach,Res,Beacon Hill,B-1176-0003-0001,2,http://cdn.photos.sparkplatform.com/icb/20250923232233465667000000.jpg,1,2,1,1,20000,,Year Round,208 N Guidelight Drive,1756,485000
113236,11/3/2025,745000,0,2016,2.66,4,3,0,Attach,R,Not Applicable,A-0935-0017-0000,2,http://cdn.photos.sparkplatform.com/icb/20250924181921433532000000.jpg,0,1,1,1,0,Paved,Year Round,5648 N Enoch Road,3400,745000
109313,8/15/2025,636560,2414,1980,1.14,8,3,0,Attach,Mixed R,Not Applicable,A-0793-0006-0000,2,http://cdn.photos.sparkplatform.com/icb/20241204224738383100000000.jpg,1,1,1,1,0,Paved,Year Round,667 E Midvalley Road,2414,636560
113262,11/10/2025,327000,0,2025,0.03,3,2,1,Attach,R-3,Iron Hawk Townhomes,B-2053-0012-0000,2,http://cdn.photos.sparkplatform.com/icb/20250923161514664470000000.jpg,0,1,1,1,11840,Paved,,51 S 4375 #12 W,1716,315160
113264,11/4/2025,319900,0,2025,0.03,3,2,1,Attach,R-3,Iron Hawk Townhomes,B-2053-0014-0000,2,http://cdn.photos.sparkplatform.com/icb/20250923163343615156000000.jpg,0,1,1,1,0,Paved,,51 S 4375 #14 W,1716,319900
113265,11/7/2025,297000,0,2019,0.04,3,2,1,Attach,R-3-M,Stone Gate,B-1898-0065-0000,2,http://cdn.photos.sparkplatform.com/icb/20250925150829201669000000.jpg,0,0,1,1,0,Paved,,173 E Fiddlers Canyon RD #65,1538,297000
113309,11/3/2025,151000,0,1983,0,1,1,0,Bsmt,R3,Copper Chase Condos,A-1178-0235-0000,1,http://cdn.photos.sparkplatform.com/icb/20250930184028815166000000.jpg,0,1,1,1,3000,,Year Round,150 W Ridge View St #235,624,148000
