ParcelId,TaxYear,Active,ImpOnly,IsIncluded,PropType ,PropTypeDescription,Subdivision,Acreage,Jurisdiction,RecordType,SpecificPropType,SpecificPropTypeDescription,Lat,Lng,ReviewedDate,ReviewedBy,NbhdCode2,Area,ImpCode,Land Value,Total Value,Res Imp Count,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,MainImp.GroupCode,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Main_YearBuilt,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion
A-0001-0002-0000,2026,Y,0,TRUE,118,Manufactured Home,,9.4,11,I,899,FARMLAND ASSESSMENT ACT,37.8541318,-112.8405138,45292,System,C-P-P,C-P-,P," $358,644.00 "," $551,563.00 ",1,1440,0,2005,1,SFR,One Story,2,0,,1,1,0,0,750,2,1990,1,1000,0,,0,,0,,0,,0,,2,357,0,
A-0001-0004-0000,2026,Y,0,TRUE,902,Vacant Ag,,1.15,11,I,899,FARMLAND ASSESSMENT ACT,37.8555942,-112.839631,45292,mwilson,C-P-P,C-P-,P," $28,336.00 "," $28,336.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0001-0005-0000,2026,Y,0,TRUE,111,Single Family Res,,3.74,11,I,100,RESIDENTIAL,37.8565287,-112.8404972,45292,CONVERSION,C-P-P,C-P-,P," $219,182.00 "," $761,635.00 ",1,3054,0,2007,3.5,SFR,One Story,3,0,,1,1,0,0,0,0,1993,1,1020,0,,0,,0,,0,,0,,0,,0,
A-0001-0025-0000,2026,Y,0,TRUE,902,Vacant Ag,,1.63,11,I,899,FARMLAND ASSESSMENT ACT,37.8527752,-112.8335476,45292,mwilson,C-P-P,C-P-,P," $10,041.00 "," $10,041.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0002-0001-0000,2026,Y,0,TRUE,903,Vacant Commercial,,2.48,11,I,500,COMMERCIAL  VACANT LAND,37.8538828,-112.8235205,45292,bhoffmeier,C-P-P,C-P-,P," $121,100.00 "," $121,100.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0002-0001-0001,2026,Y,0,TRUE,903,Vacant Commercial,,30.62,11,I,500,COMMERCIAL  VACANT LAND,37.8551945,-112.8260497,45292,bhoffmeier,C-P-P,C-P-,P," $278,150.00 "," $278,150.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0002-0001-0002,2026,Y,0,TRUE,903,Vacant Commercial,,2.19,11,I,500,COMMERCIAL  VACANT LAND,37.8539808,-112.8283365,45292,bhoffmeier,C-P-P,C-P-,P," $118,925.00 "," $118,925.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0002-0001-0003,2026,Y,0,TRUE,951,Exempt,,2.07,11,I,670,GOVERNMENTAL,37.8539543,-112.8241892,45292,bhoffmeier,C-P-P,C-P-,P, $-   , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0002-0001-0004,2026,Y,0,TRUE,951,Exempt,,1.83,11,I,670,GOVERNMENTAL,37.8550792,-112.822231,45292,bhoffmeier,C-P-P,C-P-,P, $-   , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-0002-0002-0000,2026,Y,0,TRUE,951,Exempt,,24.1,11,I,670,GOVERNMENTAL,37.862962,-112.80989,45292,mwilson,C-P-P,C-P-,P, $-   , $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
