Parcel Number,PropTypeDescription,Acreage,SpecificPropTypeDescription,NbhdCode2,Land Value,Total Value,TotGLA,Tot Bsmt,EffYearBuilt_Weighted,Quality_Weighted,Main_StyleDesc,FullBaths_Total,HalfBaths_Total,BsmtFinishPct_Weighted,Laundry_Count,KitchenCount,CarportArea,CarportCapacity,GarageArea,GarageCapacity,Count_DetGarage,SqFt_DetGarage,Count_ DetCarport,SqFt_DetCarport,Count_Barn,Sqft_Barn,Count_Guest_House,SqFt_Guest_House,Count_Pools,SqFt_Pools,Count_Recreational_Courts,SqFt_Recreational_Courts,Count_Shed,SqFt_Shed,Count_Gazebo_Pavilion,SqFt_Gazebo_Pavilion,Sold Price,Sold Date,Concessions Amount,segment,List Number,Adj_Price,ln_Price,ln_GLA,Time_1,Time_2,Time_3,Trended_Price
700040000,Single Family Res,0.46,RESIDENTIAL,C," $97,549.00 "," $413,222.00 ",1312.0,1312.0,2000.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,594.0,1.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0,0.0,0.0,420000.0,2022-11-28,0.0,Residential,99354.0,420000.0,12.948009990259552,7.179307969504034,10.808147174770038,0.0,0.0,431897.68249790685
700040000,Single Family Res,0.46,RESIDENTIAL,C," $97,549.00 "," $413,222.00 ",1312.0,1312.0,2000.0,3.0,One Story,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,594.0,1.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210.0,0.0,0.0,420000.0,2022-11-28,0.0,Land Sales,99354.0,420000.0,12.948009990259552,7.179307969504034,10.808147174770038,0.0,0.0,448855.9992281074
700070003,Single Family Res,0.38,RESIDENTIAL,C," $89,986.00 "," $435,307.00 ",1764.0,1300.0,2001.0,3.0,One Story,3.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,315000.0,2025-03-12,0.0,Residential,110236.0,315000.0,12.66032791780777,7.475339236566737,27.92378449408673,0.2956636005256242,10.019710906701707,314373.83589758386
700070003,Single Family Res,0.38,RESIDENTIAL,C," $89,986.00 "," $435,307.00 ",1764.0,1300.0,2001.0,3.0,One Story,3.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,315000.0,2025-03-12,0.0,Land Sales,110236.0,315000.0,12.66032791780777,7.475339236566737,27.92378449408673,0.2956636005256242,10.019710906701707,317904.27722953
700070009,Single Family Res,0.22,RESIDENTIAL,C," $71,436.00 "," $375,768.00 ",1522.0,0.0,2001.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,0.0,410000.0,2024-06-03,0.0,Residential,102610.0,410000.0,12.92391243868049,7.3277805384216315,27.92378449408673,0.2956636005256242,0.7555847568988173,408404.7734042937
700070009,Single Family Res,0.22,RESIDENTIAL,C," $71,436.00 "," $375,768.00 ",1522.0,0.0,2001.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,420.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,125.0,0.0,0.0,410000.0,2024-06-03,0.0,Land Sales,102610.0,410000.0,12.92391243868049,7.3277805384216315,27.92378449408673,0.2956636005256242,0.7555847568988173,417438.79203710455
700070011,Vacant,0.17,RESIDENTIAL,C," $64,065.00 "," $64,065.00 ",1862.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.0,2022-02-08,0.0,Residential,96667.0,410000.0,12.92391243868049,7.529406457837013,1.1826544021024967,0.0,0.0,411446.2628213155
700070011,Vacant,0.17,RESIDENTIAL,C," $64,065.00 "," $64,065.00 ",1862.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.0,2022-02-08,0.0,Land Sales,96667.0,410000.0,12.92391243868049,7.529406457837013,1.1826544021024967,0.0,0.0,427803.6694847522
7001000004,Single Family Res,0.19,RESIDENTIAL,C," $67,146.00 "," $211,298.00 ",2923.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000.0,2023-12-04,0.0,Residential,104198.0,485000.0,13.091904169919621,7.980365765111246,22.996057818659658,0.0,0.0,514396.6126232322
7001000004,Single Family Res,0.19,RESIDENTIAL,C," $67,146.00 "," $211,298.00 ",2923.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000.0,2023-12-04,0.0,Land Sales,104198.0,485000.0,13.091904169919621,7.980365765111246,22.996057818659658,0.0,0.0,534274.4486352262
7001000004,Single Family Res,0.25,RESIDENTIAL,C," $75,399.00 "," $579,439.00 ",3091.0,0.0,2006.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,671.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000.0,2023-12-04,0.0,Residential,104198.0,485000.0,13.091904169919621,8.036249942132116,22.996057818659658,0.0,0.0,514396.6126232322
7001000004,Single Family Res,0.25,RESIDENTIAL,C," $75,399.00 "," $579,439.00 ",3091.0,0.0,2006.0,3.5,One and One Half,3.0,0.0,0.0,1.0,2.0,0.0,0.0,671.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000.0,2023-12-04,0.0,Land Sales,104198.0,485000.0,13.091904169919621,8.036249942132116,22.996057818659658,0.0,0.0,534274.4486352262
7001000004,Single Family Res,0.21,RESIDENTIAL,C," $70,046.00 "," $481,788.00 ",1547.0,1547.0,2011.0,3.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,506.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000.0,2023-12-04,0.0,Residential,104198.0,485000.0,13.091904169919621,7.344072850573066,22.996057818659658,0.0,0.0,514396.6126232322
7001000004,Single Family Res,0.21,RESIDENTIAL,C," $70,046.00 "," $481,788.00 ",1547.0,1547.0,2011.0,3.0,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,506.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485000.0,2023-12-04,0.0,Land Sales,104198.0,485000.0,13.091904169919621,7.344072850573066,22.996057818659658,0.0,0.0,534274.4486352262
700170005,Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $433,245.00 ",1214.0,1184.0,2009.0,3.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,576.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438500.0,2025-06-13,0.0,Residential,110176.0,438500.0,12.991115090794375,7.101675971619444,27.92378449408673,0.2956636005256242,13.074901445466491,437903.881531221
700170005,Single Family Res,0.2,RESIDENTIAL,C," $68,617.00 "," $433,245.00 ",1214.0,1184.0,2009.0,3.5,One Story,3.0,0.0,1.0,1.0,1.0,0.0,0.0,576.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438500.0,2025-06-13,0.0,Land Sales,110176.0,438500.0,12.991115090794375,7.101675971619444,27.92378449408673,0.2956636005256242,13.074901445466491,441260.03518889815
700170010,Vacant,0.18,RESIDENTIAL,C," $65,630.00 "," $405,726.00 ",1653.0,0.0,2025.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,492.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399245.0,2025-09-15,0.0,Residential,112274.0,399245.0,12.897330542517311,7.410347097821024,27.92378449408673,0.2956636005256242,16.16294349540079,398955.979725185
700170010,Vacant,0.18,RESIDENTIAL,C," $65,630.00 "," $405,726.00 ",1653.0,0.0,2025.0,3.5,One Story,2.0,0.0,0.0,1.0,1.0,0.0,0.0,492.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399245.0,2025-09-15,0.0,Land Sales,112274.0,399245.0,12.897330542517311,7.410347097821024,27.92378449408673,0.2956636005256242,16.16294349540079,400580.77874465747
1200010000,Exempt,4.37,GOVERNMENTAL,C, $-   , $-   ,1880.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640000.0,2023-12-07,0.0,Residential,97433.0,640000.0,13.369223455335854,7.539027055823995,23.0946123521682,0.0,0.0,678961.0981126718
