List Number,Parcel Number,Sold Price,Sold Date,segment,Total SqFt,Year Built,Lot Acres,Total Bedrooms,Full Baths,Half Baths,Concessions Amount,Book Section,Basement SqFt,Garage Type,Zoned,Subdivision,Garage Capacity,Photo URL,Bsmt % Finish,Fireplaces2,Kitchens,Laundry,Concessions4,Road Condition,Accessability,Address,GLA,Adjusted SP,NbhdCode,Price_Bracket
113175,189400060000,665000.0,2025-11-21,Residential,1829.0,2023,0.56,4.0,2.0,0.0,0.0,Single Family,0.0,Attach,Residential,4 B Ranch,4.0,http://cdn.photos.sparkplatform.com/icb/20250918174527088995000000.jpg,0.0,1.0,1.0,1.0,0.0,Paved,Year Round,1723 S 4150 W,1829.0,665000.0,C-C-SM,500k-750k
113177,2500030085,599000.0,2025-10-06,Residential,2094.0,1999,0.52,2.0,2.0,0.0,0.0,Single Family,,,,,,,,,,,,,,,,,,500k-750k
113178,177900120000,497800.0,2025-10-17,Residential,2087.0,2005,0.31,3.0,2.0,0.0,0.0,Single Family,0.0,Attach,R,Ashdown Forest,3.0,http://cdn.photos.sparkplatform.com/icb/20250919112020274995000000.jpg,0.0,1.0,1.0,1.0,0.0,Paved,Year Round,1190 E Nichols Canyon Road,2087.0,497800.0,C-C-N,250k-500k
113181,470,375000.0,2025-10-23,Residential,1380.0,1994,0.06,3.0,2.0,0.0,0.0,Single Family,,,,,,,,,,,,,,,,,,250k-500k
113214,121101460000,560000.0,2025-11-10,Residential,2698.0,1981,0.4,4.0,2.0,0.0,0.0,Single Family,0.0,Attach,R1,Cedar Breaks Mtn,4.0,http://cdn.photos.sparkplatform.com/icb/20250919203601312362000000.jpg,1.0,1.0,1.0,1.0,8500.0,Paved,,194 Deer Trail Drive,2698.0,551500.0,M-B-S,500k-750k
113227,117600030001,505000.0,2025-11-12,Residential,3018.0,2005,0.23,4.0,3.0,0.0,0.0,Single Family,1262.0,Attach,Res,Beacon Hill,2.0,http://cdn.photos.sparkplatform.com/icb/20250923232233465667000000.jpg,1.0,2.0,1.0,1.0,20000.0,,Year Round,208 N Guidelight Drive,1756.0,485000.0,M-B-B,500k-750k
109313,79300060000,636560.0,2025-08-15,Residential,4828.0,1980,1.14,8.0,3.0,0.0,0.0,Single Family,2414.0,Attach,Mixed R,Not Applicable,2.0,http://cdn.photos.sparkplatform.com/icb/20241204224738383100000000.jpg,1.0,1.0,1.0,1.0,0.0,Paved,Year Round,667 E Midvalley Road,2414.0,636560.0,C-E-R18,500k-750k
113262,205300120000,327000.0,2025-11-10,Residential,1716.0,2025,0.03,3.0,2.0,1.0,0.0,Townhouse,0.0,Attach,R-3,Iron Hawk Townhomes,2.0,http://cdn.photos.sparkplatform.com/icb/20250923161514664470000000.jpg,0.0,1.0,1.0,1.0,11840.0,Paved,,51 S 4375 #12 W,1716.0,315160.0,C-C-H,250k-500k
113264,205300140000,319900.0,2025-11-04,Residential,1716.0,2025,0.03,3.0,2.0,1.0,0.0,Townhouse,0.0,Attach,R-3,Iron Hawk Townhomes,2.0,http://cdn.photos.sparkplatform.com/icb/20250923163343615156000000.jpg,0.0,1.0,1.0,1.0,0.0,Paved,,51 S 4375 #14 W,1716.0,319900.0,C-C-H,250k-500k
113265,189800650000,297000.0,2025-11-07,Residential,1538.0,2019,0.04,3.0,2.0,1.0,0.0,Townhouse,0.0,Attach,R-3-M,Stone Gate,2.0,http://cdn.photos.sparkplatform.com/icb/20250925150829201669000000.jpg,0.0,0.0,1.0,1.0,0.0,Paved,,173 E Fiddlers Canyon RD #65,1538.0,297000.0,C-C-N,250k-500k
113309,117802350000,151000.0,2025-11-03,Residential,624.0,1983,0.0,1.0,1.0,0.0,0.0,Condominium,0.0,Bsmt,R3,Copper Chase Condos,1.0,http://cdn.photos.sparkplatform.com/icb/20250930184028815166000000.jpg,0.0,1.0,1.0,1.0,3000.0,,Year Round,150 W Ridge View St #235,624.0,148000.0,M-B-R,<250k
113314,4132,469000.0,2025-11-10,Residential,1854.0,2019,0.04,3.0,3.0,1.0,0.0,Townhouse,,,,,,,,,,,,,,,,,,250k-500k
113324,237,670000.0,2025-10-29,Residential,2575.0,2005,0.26,4.0,2.0,0.0,0.0,Single Family,,,,,,,,,,,,,,,,,,500k-750k
113349,143,870000.0,2025-10-29,Residential,4525.0,1981,1.08,4.0,3.0,1.0,0.0,Single Family,,,,,,,,,,,,,,,,,,750k-1M
113385,879000000008,358900.0,2025-11-10,Residential,2000.0,1976,0.5,5.0,2.0,0.0,0.0,Single Family,1000.0,Carpor,R-1-18,Cottonwood Sub,2.0,http://cdn.photos.sparkplatform.com/icb/20251007194754278254000000.jpg,1.0,2.0,1.0,1.0,10000.0,Paved,,721 W Cottonwood Drive,1000.0,348900.0,C-E-R18,250k-500k
113394,1021000250102100026,80000.0,2025-11-03,Residential,792.0,1988,0.52,1.0,1.0,0.0,0.0,Single Family,,,,,,,,,,,,,,,,,,<250k
113462,194700140000,410000.0,2025-11-21,Residential,1614.0,2017,0.17,3.0,2.0,0.0,0.0,Single Family,0.0,Attach,R1,Sycamore Trail,2.0,http://cdn.photos.sparkplatform.com/icb/20251016181536506510000000.jpg,0.0,1.0,1.0,1.0,0.0,Paved,,1780 N Willow Lane,1614.0,410000.0,C-C-H,250k-500k
113467,179100400000,313000.0,2025-11-19,Residential,1290.0,2006,0.12,3.0,2.0,0.0,0.0,Single Family,0.0,Attach,R-2,Southern View,2.0,http://cdn.photos.sparkplatform.com/icb/20251024181248815432000000.jpg,0.0,0.0,1.0,1.0,0.0,Paved,Year Round,1410 S Northern View Drive,1290.0,313000.0,C-C-SE,250k-500k
113509,180100140000,582000.0,2025-11-24,Residential,3490.0,2016,0.24,6.0,3.0,0.0,0.0,Single Family,1745.0,Attach,R-1,Mountain Shadows,2.0,http://cdn.photos.sparkplatform.com/icb/20251010161718348625000000.jpg,0.95,1.0,1.0,1.0,17000.0,Paved,Year Round,156 S 4050 W,1745.0,565000.0,C-C-H,500k-750k
113515,7719,571000.0,2025-11-21,Residential,1811.0,2025,0.19,3.0,2.0,0.0,0.0,Single Family,,,,,,,,,,,,,,,,,,500k-750k
113546,115100030014,340000.0,2025-11-10,Residential,2700.0,1975,0.23,5.0,3.0,0.0,0.0,Single Family,1350.0,Attach,R-1,Cedar Knolls West,2.0,http://cdn.photos.sparkplatform.com/icb/20251014190257520593000000.jpg,0.9,1.0,1.0,1.0,0.0,Paved,Year Round,995 S Cedar Knolls West,1350.0,340000.0,C-C-C,250k-500k
109447,202800100000,496082.0,2025-02-05,Residential,1707.0,2024,0.33,3.0,2.0,0.0,0.0,Single Family,0.0,Attach,R-1,Iron Crest,3.0,http://cdn.photos.sparkplatform.com/icb/20241219191828464064000000.jpg,0.0,1.0,1.0,1.0,28082.0,Paved,,3822 W 925 N,1707.0,468000.0,C-C-H,250k-500k
110881,416,472000.0,2025-06-02,Residential,1464.0,2001,0.18,4.0,2.0,0.0,0.0,Single Family,,,,,,,,,,,,,,,,,,250k-500k
113558,4,220000.0,2025-11-10,Residential,1003.0,1986,0.0,2.0,2.0,0.0,0.0,Condominium,,,,,,,,,,,,,,,,,,<250k
